2026-04-30 14:33:15 |     0.000s | info     |                                | Logging to directory: /media/tobias/TobiasSSD1/projects/Botball/raccoon/toolchain/logs
2026-04-30 14:33:15 |     0.537s | info     | h.t...l.p.s.r.__init__.py      | Disabling all motors
2026-04-30 14:33:15 |     0.537s | info     | p.Motor.cpp                    | Mock Motor disableAll executed
2026-04-30 14:33:21 |     0.000s | info     |                                | Logging to directory: /media/tobias/TobiasSSD1/projects/Botball/raccoon/toolchain/logs
2026-04-30 14:33:25 |     3.955s | info     | h.t...l.p.s.r.__init__.py      | Disabling all motors
2026-04-30 14:33:25 |     3.955s | info     | p.Motor.cpp                    | Mock Motor disableAll executed
2026-04-30 14:33:29 |     0.000s | info     |                                | Logging to directory: /media/tobias/TobiasSSD1/projects/Botball/raccoon/toolchain/logs
2026-04-30 14:33:29 |     0.588s | info     | h.t...l.p.s.r.__init__.py      | Disabling all motors
2026-04-30 14:33:29 |     0.588s | info     | p.Motor.cpp                    | Mock Motor disableAll executed
2026-04-30 14:34:12 |     0.000s | info     |                                | Logging to directory: /media/tobias/TobiasSSD1/projects/Botball/raccoon/toolchain/logs
2026-04-30 14:34:16 |     4.629s | info     | h.t...l.p.s.r.__init__.py      | Disabling all motors
2026-04-30 14:34:16 |     4.629s | info     | p.Motor.cpp                    | Mock Motor disableAll executed
2026-04-30 14:35:40 |     0.000s | info     |                                | Logging to directory: /media/tobias/TobiasSSD1/projects/Botball/raccoon/toolchain/logs
2026-04-30 14:35:41 |     1.234s | info     | h.t...l.p.s.r.__init__.py      | Disabling all motors
2026-04-30 14:35:41 |     1.234s | info     | p.Motor.cpp                    | Mock Motor disableAll executed
2026-04-30 14:35:45 |     0.000s | info     |                                | Logging to directory: /media/tobias/TobiasSSD1/projects/Botball/raccoon/toolchain/logs
2026-04-30 14:35:49 |     4.415s | info     | h.t...l.p.s.r.__init__.py      | Disabling all motors
2026-04-30 14:35:49 |     4.415s | info     | p.Motor.cpp                    | Mock Motor disableAll executed
2026-04-30 14:35:53 |     0.000s | info     |                                | Logging to directory: /media/tobias/TobiasSSD1/projects/Botball/raccoon/toolchain/logs
2026-04-30 14:35:54 |     0.590s | info     | h.t...l.p.s.r.__init__.py      | Disabling all motors
2026-04-30 14:35:54 |     0.590s | info     | p.Motor.cpp                    | Mock Motor disableAll executed
2026-04-30 14:35:57 |     0.000s | info     |                                | Logging to directory: /media/tobias/TobiasSSD1/projects/Botball/raccoon/toolchain/logs
2026-04-30 14:35:57 |     0.514s | info     | h.t...l.p.s.r.__init__.py      | Disabling all motors
2026-04-30 14:35:57 |     0.514s | info     | p.Motor.cpp                    | Mock Motor disableAll executed
2026-04-30 14:36:52 |     0.000s | info     |                                | Logging to directory: /media/tobias/TobiasSSD1/projects/Botball/raccoon/toolchain/logs
2026-04-30 14:36:57 |     4.917s | info     | h.t...l.p.s.r.__init__.py      | Disabling all motors
2026-04-30 14:36:57 |     4.917s | info     | p.Motor.cpp                    | Mock Motor disableAll executed
2026-04-30 14:37:00 |     0.000s | info     |                                | Logging to directory: /media/tobias/TobiasSSD1/projects/Botball/raccoon/toolchain/logs
2026-04-30 14:37:01 |     0.548s | info     | h.t...l.p.s.r.__init__.py      | Disabling all motors
2026-04-30 14:37:01 |     0.548s | info     | p.Motor.cpp                    | Mock Motor disableAll executed
2026-04-30 14:37:24 |     0.000s | info     |                                | Logging to directory: /media/tobias/TobiasSSD1/projects/Botball/raccoon/toolchain/logs
2026-04-30 14:37:29 |     4.487s | info     | h.t...l.p.s.r.__init__.py      | Disabling all motors
2026-04-30 14:37:29 |     4.487s | info     | p.Motor.cpp                    | Mock Motor disableAll executed
2026-04-30 16:25:06 |     0.000s | info     |                                | Logging to directory: /media/tobias/TobiasSSD1/projects/Botball/raccoon/toolchain/logs
2026-04-30 16:25:07 |     0.911s | info     | h.t...l.p.s.r.__init__.py      | Disabling all motors
2026-04-30 16:25:07 |     0.911s | info     | p.Motor.cpp                    | Mock Motor disableAll executed
